Date,Open,High,Low,Close,Adj Close,Volume
2021-09-13,138.399994,138.990005,137.509995,138.149994,138.149994,4144100
2021-09-14,138.399994,138.570007,135.339996,136.220001,136.220001,4454300
2021-09-15,136.220001,137.800003,135.669998,137.199997,137.199997,3253900
2021-09-16,137.279999,137.949997,135.710007,136.429993,136.429993,2644000
2021-09-17,135.750000,135.919998,135.050003,135.229996,135.229996,5631300
2021-09-20,133.899994,135.179993,132.779999,134.309998,134.309998,4770700
2021-09-21,135.110001,135.649994,132.940002,132.970001,132.970001,4074500
2021-09-22,133.720001,135.369995,133.470001,134.630005,134.630005,3602200
2021-09-23,135.250000,137.419998,135.029999,136.729996,136.729996,3013200
2021-09-24,137.029999,138.479996,136.750000,137.490005,137.490005,2964400
2021-09-27,137.960007,139.070007,137.479996,138.559998,138.559998,3306900
2021-09-28,139.169998,139.690002,137.210007,137.470001,137.470001,4314600
2021-09-29,137.729996,139.929993,136.440002,139.179993,139.179993,3773900
2021-09-30,140.000000,140.570007,138.500000,138.929993,138.929993,5822400
2021-10-01,141.000000,143.970001,140.369995,143.320007,143.320007,6604100
2021-10-04,142.740005,146.000000,142.350006,144.110001,144.110001,7351100
2021-10-05,144.750000,145.000000,142.639999,143.149994,143.149994,6976600
2021-10-06,142.479996,143.369995,140.889999,142.360001,142.360001,5328400
2021-10-07,142.729996,143.399994,141.529999,141.809998,141.809998,3823800
2021-10-08,141.809998,143.649994,141.050003,143.220001,143.220001,3730700
